Queue Number,Latitute,Longitude,Queue Date,Substation Name,Substation Transformer,Capacity (MW),Interdependency Status
VA21151, 36.72916, -78.98176, 2/16/21, Sinai, TX#2, 5, Project B
VA20252, 36.757388, -78.936033, 9/10/20, Sinai, TX#2, 5, Project B
VA21503, 36.70169, -77.10641, 8/18/21, Watkins Corner, TX#2, 0, Project A
VA21161, 36.6852972, -76.7694917, 2/22/21, Watkins Corner, TX#2, 20, Project A
VA20095, 36.66637222, -76.99326667, 5/12/20, Watkins Corner, TX#2, 7.125, Project A
VA21356, 36.637505, -76.9503, 6/4/21, Watkins Corner, TX#2, 15, Project B
VA20261, 36.688343, -76.994545, 9/11/20, Watkins Corner, TX#2, 3, Project B
(2022, 4)
VA20208, 37.1887704, -78.21621637, 8/4/20, Crewe, TX#1, 3, Project A
VA22201, 37.152379, -78.136094, 8/23/22, Crewe, TX#1, 4.98, Project A
VA20209, 37.1887704, -78.21621637, 8/4/20, Crewe, TX#1, 3, Project B
VA22217, 37.165817, -78.096444, 9/7/22, Crewe, TX#1, 3, Project B
VA20290, 37.764667, -77.437185, 10/2/20, Hanover, TX#2, 26, Project A
VA22183, 37.75512, -77.45976, 8/4/22, Hanover, TX#2, 1.25, Project A
VA18107, 37.335928, -77.468535, 11/1/18, Iron Bridge, TX#1, 20, Project A
VA18108, 37.335928, -77.468536, 11/1/18, Iron Bridge, TX#1, 11.5, Project A
VA21266, 37.766506, -76.430635, 4/11/21, Lancaster, TX#3, 3, Project A
VA22191, 37.72708, -76.385505, 8/4/22, Lancaster, TX#3, 1.25, Project A
VA20547, 37.312174, -77.473586, 12/11/20, Locks, TX#4, 25, Project A
VA22176, 37.21665, -77.45142, 7/26/22, Locks, TX#4, 2.5, Project A
VA20252, 36.757388, -78.936033, 9/10/20, Sinai, TX#2, 5, Project B
VA21151, 36.72916, -78.98176, 2/16/21, Sinai, TX#2, 5, Project B
VA20095, 36.66637222, -76.99326667, 5/12/20, Watkins Corner, TX#2, 7.125, Project A
VA21161, 36.6852972, -76.7694917, 2/22/21, Watkins Corner, TX#2, 20, Project A
VA21503, 36.70169, -77.10641, 8/18/21, Watkins Corner, TX#2, 0, Project A
VA20261, 36.688343, -76.994545, 9/11/20, Watkins Corner, TX#2, 3, Project B
VA21356, 36.637505, -76.9503, 6/4/21, Watkins Corner, TX#2, 15, Project B
VA21087, 38.073665, -76.655655, 1/28/21, Westmoreland, TX#1, 1, Project A
VA22221, 38.0704984, -76.7754918999999, 9/7/22, Westmoreland, TX#1, 0, Project A
(2023, 1)
VA20209, 37.1887704, -78.21621637, 8/4/20, Crewe, TX#1, 3, Project A
VA22201, 37.152379, -78.136094, 8/23/22, Crewe, TX#1, 4.98, Project A
VA21095, 37.183258, -78.189925, 1/28/21, Crewe, TX#1, 5, Project B
VA22217, 37.165817, -78.096444, 9/7/22, Crewe, TX#1, 3, Project B
VA20290, 37.764667, -77.437185, 10/2/20, Hanover, TX#2, 26, Project A
VA22183, 37.75512, -77.45976, 8/4/22, Hanover, TX#2, 1.25, Project A
VA20268, 37.760711, -77.47709, 9/22/20, Hanover, TX#4, 0.055, Project A
VA22309, 37.718128, -77.431794, 10/27/22, Hanover, TX#4, 5, Project A
VA18107, 37.335928, -77.468535, 11/1/18, Iron Bridge, TX#1, 20, Project A
VA18108, 37.335928, -77.468536, 11/1/18, Iron Bridge, TX#1, 11.5, Project A
VA21266, 37.766506, -76.430635, 4/11/21, Lancaster, TX#3, 3, Project A
VA22191, 37.72708, -76.385505, 8/4/22, Lancaster, TX#3, 1.25, Project A
VA20547, 37.312174, -77.473586, 12/11/20, Locks, TX#4, 25, Project A
VA22176, 37.21665, -77.45142, 7/26/22, Locks, TX#4, 2.5, Project A
VA21105, 37.003444, -79.014583, 1/28/21, Perth, TX#1, 5, Project A
VA21107, 37.00468, -78.973005, 1/28/21, Perth, TX#1, 5, Project A
VA19132, 36.888545, -76.611078, 10/22/19, Smithfield, TX#2, 0, Project A
VA22314, 37.022965, -76.633313, 11/2/22, Smithfield, TX#2, 19.2, Project A
VA20095, 36.66637222, -76.99326667, 5/12/20, Watkins Corner, TX#2, 7.125, Project A
VA21161, 36.6852972, -76.7694917, 2/22/21, Watkins Corner, TX#2, 20, Project A
VA21503, 36.70169, -77.10641, 8/18/21, Watkins Corner, TX#2, 0, Project A
VA20261, 36.688343, -76.994545, 9/11/20, Watkins Corner, TX#2, 3, Project B
VA21356, 36.637505, -76.9503, 6/4/21, Watkins Corner, TX#2, 15, Project B
VA21087, 38.073665, -76.655655, 1/28/21, Westmoreland, TX#1, 1, Project A
VA22221, 38.0704984, -76.7754918999999, 9/7/22, Westmoreland, TX#1, 0, Project A
(2023, 2)
VA23027, , , 1/24/23, Chase City, TX#1, 20, Project B
VA23090, , , 4/5/23, Chase City, TX#1, 5, Project B
VA20209, 37.1887704, -78.21621637, 8/4/20, Crewe, TX#1, 3, Project A
VA22201, 37.152379, -78.136094, 8/23/22, Crewe, TX#1, 4.98, Project A
VA21095, 37.183258, -78.189925, 1/28/21, Crewe, TX#1, 5, Project B
VA22217, 37.165817, -78.096444, 9/7/22, Crewe, TX#1, 3, Project B
VA20290, 37.764667, -77.437185, 10/2/20, Hanover, TX#2, 26, Project A
VA22183, 37.75512, -77.45976, 8/4/22, Hanover, TX#2, 1.25, Project A
VA20268, 37.760711, -77.47709, 9/22/20, Hanover, TX#4, 0.055, Project A
VA22309, 37.718128, -77.431794, 10/27/22, Hanover, TX#4, 5, Project A
VA18107, 37.335928, -77.468535, 11/1/18, Iron Bridge, TX#1, 20, Project A
VA18108, 37.335928, -77.468536, 11/1/18, Iron Bridge, TX#1, 11.5, Project A
VA21266, 37.766506, -76.430635, 4/11/21, Lancaster, TX#3, 3, Project A
VA22191, 37.72708, -76.385505, 8/4/22, Lancaster, TX#3, 1.25, Project A
VA21027, 37.269226, -77.513515, 1/8/21, Locks, TX#4, 2.5, Project A
VA22176, 37.21665, -77.45142, 7/26/22, Locks, TX#4, 2.5, Project A
VA21105, 37.003444, -79.014583, 1/28/21, Perth, TX#1, 5, Project A
VA21107, 37.00468, -78.973005, 1/28/21, Perth, TX#1, 5, Project A
VA19132, 36.888545, -76.611078, 10/22/19, Smithfield, TX#2, 0, Project A
VA22314, 37.016496, -76.637656, 11/2/22, Smithfield, TX#2, 19.2, Project A
VA21283, 37.0069, -78.221, 4/14/21, Victoria, TX#1, 3, Project B
VA21494, 37.001885, -78.212244, 8/16/21, Victoria, TX#1, 3, Project B
VA20095, 36.66637222, -76.99326667, 5/12/20, Watkins Corner, TX#2, 6.972, Project A
VA21161, 36.6852972, -76.7694917, 2/22/21, Watkins Corner, TX#2, 20, Project A
VA21503, 36.70169, -77.10641, 8/18/21, Watkins Corner, TX#2, 0, Project A
VA21048, 36.7072, -77.0919, 1/14/21, Watkins Corner, TX#2, 1, Project B
VA21356, 36.637505, -76.9503, 6/4/21, Watkins Corner, TX#2, 15, Project B
VA21087, 38.073665, -76.655655, 1/28/21, Westmoreland, TX#1, 1, Project A
VA22221, 38.0704984, -76.7754918999999, 9/7/22, Westmoreland, TX#1, 0, Project A
(2023, 3)
VA20400, 38.244334, -77.203437, 10/15/20, Arnolds Corner, TX#1, 5, Project B
