Queue Number,Latitute,Longitude,Queue Date,Interdependency Status
VA21276, 37.871774, -76.351798, 4/14/21, Project A
VA21277, 37.88148, -76.33722, 4/14/21, Project B
VA21283, 37.0069, -78.221, 4/14/21, Project A
VA21301, 36.621676, -78.621234, 5/3/21, Project A
VA21302, 37.903664, -79.243295, 5/3/21, Project A
VA21304, 37.1575707439147, -76.579929492, 5/3/21, Project A
VA21305, 38.879, -78.552, 5/3/21, Project A
VA21319, 38.554273, -77.783281, 5/19/21, Project A
VA21320, 37.456, -76.843, 5/19/21, Project B
VA21325, , , 5/19/21, Project A
VA21332, 36.929746, -76.55565, 5/19/21, Project B
VA21356, 36.637505, -76.9503, 6/4/21, Project B
VA21357, 36.944935, -77.474075, 6/4/21, Project A
VA21368, 36.66487, -76.19646, 6/10/21, Project A
VA21382, 37.25273, -77.441378, 6/22/21, Project A
VA21390, 37.09959, -79.31029, 6/22/21, Project B
VA21401, 37.102156, -77.356728, 7/2/21, Project B
VA21405, 36.70481, -78.04257, 7/2/21, Project A
VA21411, 36.710659, -76.564324, 7/2/21, Project A
VA21420, 36.764389, -79.414944, 7/7/21, Project B
VA21424, 37.020847, -77.101807, 7/19/21, Project A
VA21440, 37.128768, -79.224342, 7/21/21, Project A
VA21456, 37.014388, -77.67555, 7/26/21, Project B
VA21458, 36.6020139, -78.567961, 7/26/21, Project A
VA21459, 37.5051, -76.677133, 7/26/21, Project A
VA21461, 36.6262, -78.5655, 7/28/21, Project B
